Title,Sector,Description,Salary
Эрсдэлийн мэргэжилтэн,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэг1. Олон улсын эрсдэлийн удирдлагын сайн практик, стандартын дагуу эрсдэлийг удирдах арга аргачлалыг боловсруулах, сайжруулах;2. Эрсдэл үүсгэж болзошгүй хүчин зүйлийг тодорхойлох, үнэлэх, эрсдэлийг удирдах, бууруулах аргачлалыг боловсруулах;3. Эрсдэлийг үнэлэх шинжлэх арга аргачлал, сценари боловсруулах, сайжруулах, эрсдэлийг үнэлэх, нөлөөллийг тогтоох, стресс тест хийх;4. Эрсдэлийн хүлээн зөвшөөрөгдөх түвшин, компанийн эрсдэл үүрэх чадамжийг тогтоож, хяналтын системийг бий болгон, холбогдох газар нэгжийн үйл ажиллагаанд хэрэгжүүлэхэд тусламж үзүүлэх, хяналт тавих;5. Эрсдэлийн дүгнэлт гаргах, хамтран ажиллагч байгууллагуудтай хийх хэлцлийн дээд хэмжээг тогтоох;6. Хөрөнгийн үнэ цэнийн бууралтыг эрсдэлийн хүчин зүйлтэй уялдуулан тооцоолох;7. Эрсдэлийг соёлыг компани даяар суурьшуулахад дэмжлэг үзүүлэх.","1,800,000 - 2,100,000 ₮"
Бүс хариуцсан менежер /Сэлэнгэ аймагт суурин/,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэгОрон нутагт борлуулалтыг өсгөх салбарын хэвийн үйл ажилгааг хангахад шаардлагатай хүн хүч,дүрэм журам, нөөцийг бий болгох,ажилтнуудыг сургах чадавхижуулах.","2,100,000 - 2,500,000 ₮"
Бүс хариуцсан менежер /Завхан аймагт суурин/,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэгОрон нутагт борлуулалтыг өсгөх салбарын хэвийн үйл ажилгааг хангахад шаардлагатай хүн хүч,дүрэм журам, нөөцийг бий болгох,ажилтнуудыг сургах чадавхижуулах.","2,100,000 - 2,500,000 ₮"
Бүс хариуцсан менежер /Архангай аймагт суурин/,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэгОрон нутагт борлуулалтыг өсгөх салбарын хэвийн үйл ажилгааг хангахад шаардлагатай хүн хүч,дүрэм журам, нөөцийг бий болгох,ажилтнуудыг сургах чадавхижуулах.","2,100,000 - 2,500,000 ₮"
ЕРӨНХИЙ МЕНЕЖЕР /Англи хэлтэй/,"Захиргаа, Хүний нөөц","Гүйцэтгэх үндсэн үүрэг
Гүйцэтгэх захирлын өдөр тутмын үйл ажиллагаанд дэмжлэг болон ажиллах
Гадаад, дотоодын зочид төлөөлөгчийг угтах, уулзах
Шууд удирдлагаас өгсөн бусад үүрэг даалгаврыг цаг алдалгүй, шуурхай гүйцэтгэх
Албан тушаалын тодорхойлолтын дагуу бусад чиг үүргүүд","2,500,000 - 3,000,000 ₮"
ЖОЛООНЫ В АНГИЛАЛТАЙ ТҮГЭЭЛТИЙН АЖИЛТАН АЖИЛД АВНА,"Худалдаа, Борлуулалт",Гүйцэтгэх үндсэн үүрэгХарилцагч нарт захиалгын дагуу түгээлтийн автомашинаар бүтээгдэхүүнийг маршрутын дагуу хүргэх болон ажлын байрны тодорхойлолтод заасан бусад чиг үүргийг гүйцэтгэнэ.,"1,800,000 - 2,100,000 ₮"
ЗАХИРЛЫН ТУСЛАХ /АНГЛИ ХЭЛТЭЙ/,"Захиргаа, Хүний нөөц","Гүйцэтгэх үндсэн үүрэг
Гүйцэтгэх захирлын өдөр тутмын үйл ажиллагаанд дэмжлэг болон ажиллах
Гадаад, дотоодын зочид төлөөлөгчийг угтах, уулзах
Шууд удирдлагаас өгсөн бусад үүрэг даалгаврыг цаг алдалгүй, шуурхай гүйцэтгэх
Албан тушаалын тодорхойлолтын дагуу бусад чиг үүргүүд","2,500,000 - 3,000,000 ₮"
ХАБЭА-н ажилтан /HЬЮ ГОР ХХК/,"Барилга, Үл хөдлөх хөрөнгө","Гүйцэтгэх үндсэн үүрэг
Компанийн хэмжээнд ХАБЭА-н дүрэм журмыг боловсруулах, дагаж мөрдүүлэх
Төслийн талбайн ажилчдын хөдөлмөр аюулгүй ажиллагааг зохион байгуулж, хангуулах инженер болон талбайн ажилчдад хөдөлмөр хамгаалал, аюулгүй ажиллагааны зааварчилгаа өгөх, ослоос урьдчилан сэргийлэх,
АБТ-д заагдсан бусад ажил үүрэг","2,100,000 - 2,500,000 ₮"
САНХҮҮГИЙН ТУСЛАХ АЖИЛТАН /Хятад хэлтэй/,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэг
Санхүүгийн албаны өдөр тутмын үйл ажиллагаанд туслах;
Санхүүгийн баримт бичгүүдийг стандартын дагуу хөтөлж, эмхлэх;
Албан тушаалын тодорхойлолтод заагдсан бусад ажил үүргүүдийг гүйцэтгэнэ;","2,100,000 - 2,500,000 ₮"
САНТЕХНИКИЙН ИНЖЕНЕР,"Барилга, Үл хөдлөх хөрөнгө","Гүйцэтгэх үндсэн үүрэг
Гүйцэтгэгч байгууллагын сантехник угсралтын ажлын гүйцэтгэлд хяналт тавих, дутагдал доголдлыг тухай бүрт илрүүлэн засуулах арга хэмжээ авах;
Сантехникийн тоног төхөөрөмж, шугам сүлжээний зураг төслийг, төлөвлөх, төсөв төлөвлөгөөний дагуу угсралт ашиглалт, засвар үйлчилгээний ажлыг хянах болон зохион байгуулах;
Сантехникийн их болон урсгал засварын ажлын төлөвлөгөө гаргаж батлуулах, биелэлтийг хангах;","1,800,000 - 2,100,000 ₮"
Нягтлан бодогч,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэг
Компанийн нягтлан бодох бүртгэлийн бодлого, холбогдох журам зааварт нийцүүлэн үйл ажиллагааг оновчтой, үр ашигтай зохион байгуулах, төлөвлөх, хөгжүүлэх, хэрэгжилтэд хяналт тавих, компанийн мөнгөн урсгал болон үр ашгийн тайланг хянаж, санхүүгийн шинжилгээ хийж, дүгнэлт гаргах
Нягтлан бодох бүртгэлийн үй ажиллагааг удирлан зохион байгуулах, хяналт тавих
Удирдлагыг шаардлагатай санхүүнийн тоон мэдээллээр хангах 
Үйлдвэрлэлийн өртөг тооцох, төсөв гүйцэтгэлд хяналт тавих","2,100,000 - 2,500,000 ₮"
Брэнд менежер ажилд авна.,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэгОлон улсад танигдсан шинэ брэндийн мэдээлэл танилцуулга, идэвхжүүлэлт хийх, захиалга авах, шинэ харилцагч нэмэх,  бүтээгдэхүүнийг зах зээлд нэвтрүүлэн хоногшуулж борлуулалтыг нэмэгдүүлж ажиллах;","1,500,000 - 1,800,000 ₮"
LPG ГОО САЙХНЫ ТӨВД ГОО САЙХАНЧ АЖИЛД АВНА.,"Спорт, Гоо сайхан, Фитнесс","Гүйцэтгэх үндсэн үүрэгLPG гоо сайхны салонд арьс, гоо заслын үйлчилгээг мэргэжлийн өндөр түвшинд үзүүлэх болон бусад АБТ-д заасан ажил үүргийг хийж гүйцэтгэнэ.","1,500,000 - 1,800,000 ₮"
Мужаан,"Ажилчид, туслах ажилтан","Гүйцэтгэх үндсэн үүрэгБанкны оффис, салбар, тооцооны төв, кассуудын тавилга эд зүйлсийн эвдрэл гэмтлүүдэд засвар үйлчилгээ хийж, ажиллах хэвийн нөхцөлөөр хангах, аж ахуйн ажилд туслахад оршино.","1,000,000 - 1,200,000 ₮"
САНТЕХНИКИЙН ГАГНУУРЧИН,"Ажилчид, туслах ажилтан",Гүйцэтгэх үндсэн үүрэгМэргэжлийн сантехник дулаан хангамжийн байгууллагад туршлагатай Сантехникийн гагнуурчин сонгон шалгаруулж авна.,"3,000,000 - 4,000,000 ₮"
Сургалтын мэргэжилтэн,"Захиргаа, Хүний нөөц","Гүйцэтгэх үндсэн үүрэг
Салбарын ажилтнуудад ажлын байран дээрх сургалт зохион байгуулах,
Тайлан төлөвлөгөө гаргах, хэрэгжилтийг хангах
Стандарт, баримт бичиг орчуулах, боловсруулах
Сургалтын үйл ажиллагаанд хяналт тавих, үнэлэх, сайжруулах арга хэмжээг зохион байгуулах.",
Хятад хэлтэй хуульчийн туслах,"Хууль, хуулийн үйлчилгээ","Гүйцэтгэх үндсэн үүрэг
Хуульч хятад хэлээр Хятадын хөрөнгө оруулалттай аж ахуйн нэгж болон компанид хууль зүйн зөвлөх үйлчилгээ үзүүлэхэд дэмжлэг үзүүлэх;
Монгол улсын хууль, тогтоомжийг Хятад хэл рүү зөв оновчтой орчуулах；
Монгол хэл дээрх гэрээ, хэлэлцээрийг Хятад хэл рүү зөв оновчтой орчуулах",
Бизнес хөгжүүлэлтийн менежер,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэг
Шинэ бизнесийн судалгаа хийх, хэрэгжүүлэх боломжтой төслүүдийн бизнес төлөвлөгөөг боловсруулах, түүний дагуу хэрэгжүүлэх
Төслийн агуулга, хамрах хүрээ, ажлын бүтэц тодорхойлох
Төслийн удирдамж төлөвлөгөө боловсруулах, хэрэгжилтийн явц дахь төлөвлөгөө, өөрчлөлтийг удирдах
Төслийн нөөцийг бүрдүүлэх, цаг хугацаа, өртөг зардлыг удирдах
Гадаад болон дотоодын харилцагчтай харилцан ашигтай хамтран ажиллах.
Компанийн бизнесийн үр ашгийг нэмэгдүүлэхэд шаардлагатай тооцоо, судалгааг хийх, санал зөвлөмж гаргах","3,000,000 - 4,000,000 ₮"
Бизнес хөгжлийн менежер,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэг
Шинэ бизнесийн судалгаа хийх, хэрэгжүүлэх боломжтой төслүүдийн бизнес төлөвлөгөөг боловсруулах, түүний дагуу хэрэгжүүлэх
Төслийн агуулга, хамрах хүрээ, ажлын бүтэц тодорхойлох
Төслийн удирдамж төлөвлөгөө боловсруулах, хэрэгжилтийн явц дахь төлөвлөгөө , өөрчлөлтийг удирдах
Төслийн нөөцийг бүрдүүлэх, цаг хугацаа, өртөг зардлыг удирдах
Гадаад болон дотоодын харилцагчтай харилцан ашигтай хамтран ажиллах.
Компанийн бизнесийн үр ашгийг нэмэгдүүлэхэд шаардлагатай тооцоо, судалгааг хийх, санал зөвлөмж гаргах","2,500,000 - 3,000,000 ₮"
Барилгын компанид борлуулалтын менежер авна,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэг- ""Марч Архитект"" ХХК-ийн салбар компани болох ""Хайду Тауэр"" ХХК барилга угсралтын компаний дотоод дүрэм журам, хөдөлмөрийн гэрээг мөрдөн ажиллах 
- ""Хайду Тауэр"" ХХК-ийн хэрэгжүүлж байгаа төслүүдийг худалдан борлуулах, гэрээ хэлэлцээр хийх 
- Захиалагч нарт үл хөдлөх хөрөнгийн талаар мэдээлэл өгөх, танилцуулах, зөвлөгөө өгөх
- Ажлын байрны тодорхойлолтонд заасан чиг үүргийн дагуу ажиллах",
Худалдааны төлөөлөгч (И НОМИН),Үйлчилгээ,"Гүйцэтгэх үндсэн үүрэг
Хариуцсан суваг, борлуулалт үйлчилгээний салбаруудад бараа бүтээгдэхүүнээ худалдаалж, шинэ харилцагчийг олсноор борлуулалтын бүтээмж, үр ашгийг тогтвортойгоор өсгөх; 
Харилцагч үйлчлүүлэгчийн үйлчилгээг сайжруулах, тэднийг тогтоон барих, бараа бүтээгдэхүүний захиалга авснаас хойш харилцагчаар дамжин эцсийн хэрэглэгчдэд хүрэх хүртлэх бүхий л үйл явцад хяналт тавьж, шаардлагатай үйлчилгээгээр хангах; 
Борлуулалтын төлөвлөгөө боловсруулах, бараа болон харилцагчийн судалгаа, хуваарьт хурал уулзалтад оролцох;","1,500,000 - 1,800,000 ₮"
Архив хуулгын ажилтан,"Хэвлэл мэдээлэл, Медиа",Гүйцэтгэх үндсэн үүрэгАВТ Тодорхойлолтод заагдсан ажил үүргийг гүйцэтгэнэ.,"1,000,000 - 1,200,000 ₮"
Тээвэр зохицуулагч /Өмнөговьд ростерлох/,"Тээвэр, гааль, агуулах","Гүйцэтгэх үндсэн үүрэг1. Тээврийн мэдээ бэлдэх
2. Тээврийн хэрэгслийн бүрэн бүтэн байдлыг хариуцна
3. Тээврийн хэрэгслүүдийг үзлэг оношилгоонд цаг тухай бүрт нь оруулах
4. Түлшний хяналт, GPS хяналт хариуцах
5. Тээвэрлэлттэй холбоотой бүх мэдээллийг бэлтгэж тайлан гаргах","1,500,000 - 1,800,000 ₮"
ЭРДЭНЭТ хотод ХУДАЛДААНЫ ТӨЛӨӨЛӨГЧ ажилд авна.,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэг 

Харилцагчидаас захиалга авч төлөвлөгөөний дагуу борлуулалт хийх 
Байгууллагын нүүр царай болж ажиллах, хэрэглэгчдийг болон шууд удирдлагыг үнэн зөв мэдээллээр хангах
Харилцагчын төлбөр тооцоо хариуцах
Шинэ харилцагч нээх","1,200,000 - 1,500,000 ₮"
Мерчант хариуцсан менежер,"Мэдээлэл технологи, Харилцаа холбоо","Гүйцэтгэх үндсэн үүрэг- Хамтран ажиллах мерчанттай тохиролцоо хийх
- Хамтран ажиллах мерчанттай гэрээ байгуулах
- Гэрээт мерчанттай байнгын харилцаа холбоотой байж, идэвхижүүлэх
- Мерчантын бүртгэлийг байнгын хийж, удирдлагыг тоон мэдээллээр хангах
- Мерчантаас ирсэн санал, гомдолыг хүлээн авах, шийдвэрлэх, мэдээлэл солилцох
- Мерчанттай хамтран аливаа үйл ажиллагааг зохион байгуулах төлөвлөгөө гаргах, хэрэгжүүлэх, тайлагнах, дүгнэх, сайжруулах
- Бусад алба нэгжтэй хамтран ажиллах
- Мерчантын буцаалттай холбоотой асуудлыг шийдвэрлэх",
ЯПОН ХООЛНЫ АХЛАХ ТОГООЧ /шинэ ресторан/,"Ресторан, Хоол үйлдвэрлэл","Гүйцэтгэх үндсэн үүрэг
7 хоног бүрээр хоолны цэсийг гаргаж. Гаргасан хоолны цэсийн дагуу амт чанартай хоолоор үйлчлэх
Хоолны амт чанар, түүний хүртээмжийн байдалд хяналт тавих.
Гал тогооны ариун цэвэр, эрүүл ахуйг цэвэр авч явах.
Тогооч бэлтгэх тогооч нарт ажлын даалгавар өгч, ажлын гүйцэтгэлийг дүгнэх
Гал тогооны ажилчдыг нормын хувцас хэрэгсэл өмсөж байгаад хяналт тавих
Хоолны дээжийг нормын дагуу авч хадгалах, устгах
Ажлын цаг ашиглалт өгсөн үүрэг даалгаварт хяналт тавих
Хүнсний хадгалалт, эрүүл ахуйд хяналт тавих.
Рестораны үйл ажиллагааг зөв зохистой удирдан зохион байгуулах.
Идэвх санаачилгатай, цэвэр нямбай, түргэн шуурхай үйлчлэх.
Гаднын зочид төлөөлөгч ирэхэд амт чанартай хоолоор түргэн шуурхай соёлч боловсон үйлчлэх,","3,000,000 - 4,000,000 ₮"
Ковшийн оператор / HL780XTD-9/,Уул уурхай,Гүйцэтгэх үндсэн үүрэгАжлын байрны тодорхойлолтод заасан ажил үүргийг хийж гүйцэтгэнэ.,"2,100,000 - 2,500,000 ₮"
Эх бэлтгэгч- дизайнер,"Дизайн, Энтертайнмент, Соёл урлаг","Гүйцэтгэх үндсэн үүрэгХэвлэх үйлдвэрийн эх бэлтгэлийн албанд номын хавтас, зурагт ном болон номын бусад чимэглэлийн загвар гаргах, ном, сэтгүүлийн дотор өрөлт, монтаж хийх, эх бэлтгэл хийх. 
Ажлын 5 өдөр 8цаг 
Суурь цалинтай- үнэлгээт цалинтай","1,500,000 - 1,800,000 ₮"
Маркетингийн менежер,"Маркетинг, PR, Менежмент","Гүйцэтгэх үндсэн үүрэгЭмнэлгийн нэр хүнд, үнэ цэнийг өсгөх, олон нийттэй харилцах бодлогыг хэрэгжүүлэх, маркетингийн стратеги, төсөл боловсруулах, хэрэгжүүлэх, тайлагнах, эмнэлгийн  бүтээгдэхүүн үйлчилгээний борлуулалтыг нэмэгдүүлэхэд дэмжлэг үзүүлэх, хэрэглэгчийн сэтгэл ханамжийг сайжруулах, өрсөлдөгчийн болон зах зээлийн судалгаа хийх, эмнэлгийн цахим хуудсыг шинэчлэх, мэдээллийг баяжуулах ажлыг хариуцах, олон нийттэй харилцах ажлыг зохион байгуулж ажиллах","1,500,000 - 1,800,000 ₮"
Борлуулалт импортын менежер (Лоттэ төсөл),"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэг
Бараа бүтээгдэхүүний импорт, бараа татан авалт, дотоод зах зээлийн судалгаа шинжилгээ хийх, эрэлт нийлүүлэлтийг тооцоолох, борлуулалтын төлөвлөгөөг хянаж, хэрэгжүүлэх,
Барааны бүртгэлийг санхүүгийн програмуудад бүртгэх, удирдлагад тайлагнах, худалдааны нэгжийн өдөр тутмын үйл ажиллагаанд дэмжлэг үзүүлэх,
Барааны нэр төрлийг нэмэгдүүлэх, нөөцийг бүрдүүлэх, зах зээлд өрсөлдөх чадварыг дээшлүүлэх,","2,100,000 - 2,500,000 ₮"
Баримт бичиг хяналтын ажилтан,"Барилга, Үл хөдлөх хөрөнгө","Гүйцэтгэх үндсэн үүрэг
Өдөр бүр, 7 хоног бүр, сар бүрийн төслийн тайланг нэгтгэж төсөлд оролцогч талуудад илгээх
Барилга угсралт болон ашиглалттай холбоотой бүх баримт бичгийн бүртгэл хөтлөх, шинэчлэх
Хэлтсийн нэгдсэн мэдээллийн сан үүсгэх, шинэчлэх
Төсөлд шаардлагатай баримт бичгийн загварууд бэлдэх
Хэлтсийн ажилчдыг баримт бичгийн нэгдсэн системд оруулах, хэрэгжүүлэлтийг хянах
Төслийн бүх баримт бичгийг цахим болон хэвлэмэл байдлаар хадгалах архивлах
Хурлын тэмдэглэл хөтлөх, хурлуудыг зохион байгуулах

Төслийн баримт бичиг хяналтын журмыг боловсруулах","2,100,000 - 2,500,000 ₮"
ДЭЛГҮҮРИЙН АЖИЛТАН-3 сар,"Худалдаа, Борлуулалт",Гүйцэтгэх үндсэн үүрэгАБТ-д заагдсан ажил үүргийг гүйцэтгэх,"1,200,000 - 1,500,000 ₮"
Эрдэнэт салбар дэлгүүрт Худалдааны зөвлөх,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэг
Электрон барааны дэлгүүрт худалдааны зөвлөх хийж үйлчлүүлэгчид бараа бүтээгдэхүүн тайлбарлаж, худалдах.
Бусад ажлын байрны тодорхойлолтод заасан ажил үүргүүд","1,500,000 - 1,800,000 ₮"
"Захирлын туслах, бичиг хэргийн ажилтан","Эмнэлэг, Эм хангамж","Гүйцэтгэх үндсэн үүрэгЗахирлыг ажил үүргээ гүйцэтгэхэд нь шаардагдах мэдээ, мэдээллээр хангах, зохион байгуулалт хийж ажиллах, Захирлын тушаал, холбогдох албан болон бусад бичиг баримтыг стандартад нийцүүлэн бэлтгэж гаргах, ирсэн, явсан албан тоотуудын биелэлт гүйцэтгэлийг ханган ажиллах","1,200,000 - 1,500,000 ₮"
Судлаач /эмч/,"Эмнэлэг, Эм хангамж",Гүйцэтгэх үндсэн үүрэгАжлын байрны тодорхойлолт заасан чиг үүргийн дагуу ажиллана.,"2,500,000 - 3,000,000 ₮"
Түгээгч,"Эмнэлэг, Эм хангамж","Гүйцэтгэх үндсэн үүрэгТээврийн хэрэгслийн бүрэн бүтэн байдлыг хангаж, бүтээгдэхүүнийг заагдсан эмийн сангийн маршрутын дагуу түргэн шуурхай бараа бүтээгдэхүүнийг түгээх, хүлээлгэн өгөх.","1,500,000 - 1,800,000 ₮"
