Title,Sector,Description,Salary
Визний мэргэжилтэн,"Захиргаа, Хүний нөөц",Гүйцэтгэх үндсэн үүрэгАжлын байрны тодорхойлолтын дагуу ажилна.,
Бараа өрөлтийн ажилтан /хувьдаа машинтай/,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэг- Харилцагчийн лангууны өрөлтийг хэрэглэгчийн харааны түвшинд, өрөлтийн стандартын дагуу байршуулан харилцагчийн бараа эргэцийг нэмэгдүүлэх - Тухайн сувгийн борлуулалтыг нэмэгдүүлэхэд анхаарч ажиллах","1,500,000 - 1,800,000 ₮"
Хуулийн зөвлөх / Жуулчин ХХК/,"Хууль, хуулийн үйлчилгээ","Гүйцэтгэх үндсэн үүрэг
Англи хэл дээр гэрээ, эрх зүйн бичиг баримт боловсруулах, орчуулга хийх, гэрээ хянах.
Компанийн бизнесийн үйл ажиллагааг хууль тогтоомжид нийцүүлэн явуулахад мэргэжлийн зөвлөгөө өгөх, хууль зүйн дэмжлэг үзүүлэх, хууль, эрх зүйн үр дагавар бүхий эрсдэлээс урьдчилан сэргийлэх
Гэрээ, контракт болон эрх зүйн харилцааг үүсгэх, өөрчлөх, дуусгавар болгоход чиглэгдсэн бүх төрлийн бичиг баримтыг боловсруулах, хянах
Компанийн газар, хэлтэс, охин компанийн үйл ажиллагааны уялдаа холбоог хангахад хууль эрх зүйн асуудлаар хамтран ажиллах, баримт бичгийн төсөл боловсруулах
Байгууллагын дотоод журам, түүнтэй холбогдон гарсан бусад дүрэм журам, хөдөлмөрийн гэрээ бусад гэрээг боловсруулж, тэдгээрийн хэрэгжилтэд хяналт тавина.
Компанийг хууль, шүүх төрийн байгууллагад төлөөлөх, байгууллагын эрх ашгийг хамгаалах
Ажлын байрны тодорхойлолтод заагдсан бусад ажил үүрэг","2,500,000 - 3,000,000 ₮"
ХУДАЛДААНЫ ТӨЛӨӨЛӨГЧ,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэгХарилцагчидтай үр дүнтэй харилцаа, холбоотой ажиллах; Барааг харилцагчдад сурталчлан танилцуулах, бүтээгдэхүүнийг борлуулж худалдах; Борлуулалтын төлөвлөгөөний дагуу борлуулалт хийх, идэвхжүүлэлтийг хэрэгжүүлэх; Шинэ харилцагч нээх, тухайн сувгийн борлуулалтыг нэмэгдүүлэхэд анхаарч ажиллах; Ажлын байрны тодорхойлолтын дагуу бусад ажил үүргүүд;","1,800,000 - 2,100,000 ₮"
Агуулахын нярав,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэг
Санхүүгийн программ дээр орлого, зарлага бүртгэл, хөдөлгөөн хийх, өдөр тутмын ажил гүйлгээг хөтлөх, бүртгэх
Хариуцсан хөрөнгийн бүртгэл тооцоог хийх
Агуулахын бараа материалыг хариуцах, барааг ирэхэд тоо ёсоор хүлээн авах
Үндсэн хөрөнгө бараа материал хариуцаж ажиллана
Ажлын байрын бусад чиг үүргийн дагуу","2,100,000 - 2,500,000 ₮"
Програм ашиглалтын мэргэжилтэн,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэг- Програмын нэмэлт өөрчлөлтийн шаардлага гаргах, алдааг засварлах, сайжруулалт, шинэчлэлт, туршилт, нэвтрүүлэлтийг хийх, системийн хэмжээний хэрэглэгчдийн програм ашиглалтын мэдлэгийг байнга өсгөх, мэдээлэл технологийн сайжруулалт, хөгжүүлэлт, боломж, давуу талыг бизнес талаас нь байнга эрэлхийлэх зорилготой.","1,800,000 - 2,100,000 ₮"
Сувилахуйн аргазүйч,"Эмнэлэг, Эм хангамж",Гүйцэтгэх үндсэн үүрэгАлбан тушаалын тодорхойлолтод заасны дагуу,"1,200,000 - 1,500,000 ₮"
Япон хэлний багш,"Боловсрол, Шинжлэх ухаан",Гүйцэтгэх үндсэн үүрэгЯпон хэлний анхан шатнаас ахисан шат хүртэлх түвшингийн хичээл заана.,
Cувилагч,"Эмнэлэг, Эм хангамж",Гүйцэтгэх үндсэн үүрэг Албан тушаалын тодорхойлолтын дагуух ажил,"1,200,000 - 1,500,000 ₮"
Программист /Middle software developer/,"Мэдээлэл технологи, Харилцаа холбоо","Гүйцэтгэх үндсэн үүрэг
Программ хангамж хөгжүүлэлт
ERP системийн хөгжүүлэлт",
Эрсдэлийн загвар хөгжүүлэгч,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэг 
Өгөгдөл боловсруулах, дүн шинжилгээ хийх, кредит скоринг болон бусад зээлийн загваруудыг боловсруулах, сайжруулах, тасралтгүй ажиллагааг бүрэн хангаж ажиллах.","2,500,000 - 3,000,000 ₮"
Нягтлан бодох бүртгэлийн мэргэжилтэн,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэг
Санхүүгийн программ болон бусад бизнес программууд дээр ажиллаж сурах
Санхүүгийн программ болон бусад бизнес программуудыг харилцагчид нэвтрүүлэх, сургалт орох, зөвлөх үйлчилгээ үзүүлэх
Санхүүгийн программыг тестлэх
Бүртгэлийн бодлого тодорхойлох",
